title,originallink,link,description,pubDate
"<b>삼성전자</b>, 서울대와 손잡고 '미래가전 핵심기술' 개발 박차",https://www.inthenews.co.kr/news/article.html?no=40104,https://www.inthenews.co.kr/news/article.html?no=40104,<b>삼성전자</b> ·서울대 '미래가전 구동기술센터'설립 MOU 체결 인더뉴스 김용운 기자ㅣ<b>삼성전자</b>와 서울대가 가전제품의 핵심 부품 기술 개발을 위해 손을 잡았습니다. <b>삼성전자</b>[005930]는 서울대와 '미래가전 구동기술센터... ,"Fri, 10 Sep 2021 09:52:00 +0900"
"SK하이닉스·<b>삼성전자</b> 언급한 美 상무부 부장관 &quot;반도체 부족 해소, 韓 절대적...",https://www.ekn.kr/web/view.php?key=20210909010001449,https://www.ekn.kr/web/view.php?key=20210909010001449,"돈 그레이브스 미국 상무부 부장관이 8일(현지시간) SK하이닉스, <b>삼성전자</b> 등을 예시로 들며 한국과의 반도체 공급망 구축 협력이 중요하다고 강조했다. 그레이브스 부장관은 이날 미 싱크탱크 전략국제문제연구소(CSIS)가... ","Thu, 09 Sep 2021 13:26:00 +0900"
"SKT, 40만원대 가성비 5G폰 '<b>삼성전자</b> 갤럭시 와이드5' 출시",http://www.mediapen.com/news/view/662346,http://www.mediapen.com/news/view/662346,SK텔레콤은 40만원대 중반 가격에 6.6인치 대화면을 탑재한 가성비 5G 스마트폰 '<b>삼성전자</b> 갤럭시 와이드5'를 10일부터 공식 온라인몰 T다이렉트샵과 오프라인 매장 T월드에서 단독 출시한다고 밝혔다. SK텔레콤은... ,"Fri, 10 Sep 2021 11:06:00 +0900"
"<b>삼성전자</b> 갤럭시워치4·버즈2, 이마트24에서 판매 개시",http://biz.newdaily.co.kr/site/data/html/2021/09/05/2021090500015.html,http://biz.newdaily.co.kr/site/data/html/2021/09/05/2021090500015.html,"뉴데일리 이성진 기자 = <b>삼성전자</b>는 갤럭시 워치4와 갤럭시 버즈2, 폴더블폰 액세서리 등 다양한 모바일 신제품을 이마트24에서 판매한다고 5일 밝혔다. <b>삼성전자</b>는 지난 4월부터 USB 케이블, 충전 어댑터, 유선 이어폰... ","Sun, 05 Sep 2021 10:30:00 +0900"
"“취약계층에 희망 나눠달라” <b>삼성전자</b>, 평택복지재단 통해 나눔 실천",https://www.sporbiz.co.kr/article/20210912570061,https://www.sporbiz.co.kr/article/20210912570061,"<b>삼성전자</b> DS부문이 다가오는 추석을 맞이해 평택시 관내 아동, 노인, 장애인, 다문화 등 취약계층을 위한 희망나눔 물품을 전달했다. /평택복지재단 제공 [한스경제=(평택)김두일 기자] 평택복지재단은 지난 10일 <b>삼성전자</b>... ","Sun, 12 Sep 2021 20:12:00 +0900"
"내달 디지털세 합의, <b>삼성전자</b>, SK하이닉스 과세 사정권",http://www.fnnews.com/news/202109061134456242,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004704003,"오는 10월 G20정상회의에서 경제협력개발기구(OECD) 디지털세 합의안이 최종 추인되면 <b>삼성전자</b>, SK하이닉스 외에도 우리 수출기업 다수가 영향을 받을 것이라는 주장이 제기됐다. 대한상공회의소는 한국무역협회와... ","Mon, 06 Sep 2021 11:35:00 +0900"
"<b>삼성전자</b> 폴더블폰 대세로 만들까, 노태문 풀어야 할 숙제 아직 많다",https://www.businesspost.co.kr/BP?command=article_view&num=249598,https://www.businesspost.co.kr/BP?command=article_view&num=249598,노태문 <b>삼성전자</b> IM(IT&amp;모바일)부문 무선사업부장 사장이 폴더블 스마트폰을 '볼륨 모델(물량에 중점을 두는 제품)'로 키워낼 수 있을까? 노 사장이 <b>삼성전자</b> 폴더블 스마트폰의 인기를 장기적 시장 지배력으로 이어가기... ,"Thu, 09 Sep 2021 15:00:00 +0900"
"<b>삼성전자</b>, 이번주 노사 임금교섭 절차 돌입",https://www.dailian.co.kr/news/view/1029813/?sc=Naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002527222,<b>삼성전자</b>가 지난달 창사 이래 처음으로 노조와 단체협약을 체결한 데 이어 임금교섭 절차에도 돌입한다. 5일 <b>삼성전자</b>에 따르면 노사는 이번 주 중 서로 만나 2021년도 임금·복리후생 협상을 위한 구체적인 교섭 일정을... ,"Sun, 05 Sep 2021 11:45:00 +0900"
<b>삼성전자</b> '메타버스' 통해 구직자와 일대일 직무상담 나서,http://www.lcnews.co.kr/news/articleView.html?idxno=24006,http://www.lcnews.co.kr/news/articleView.html?idxno=24006,<b>삼성전자  삼성전자</b>는 7일부터 시작된 2021년도 하반기 3급 신입채용에서 MZ세대 구직자들과 보다 적극적인 소통을 위해 메타버스 플랫폼을 활용한 '일대일 직무상담'을 8일부터 13일까지 실시한다. 삼성전자가 채용... ,"Wed, 08 Sep 2021 09:01:00 +0900"
"<b>삼성전자</b>, 외국인 5일 연속 ‘사자’…석 달만에 처음",http://www.dt.co.kr/contents.html?article_no=2021090602109963075008&ref=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002695584,코스피 3200선 마감 美고용지표 부진에 관망세 <b>삼성전자</b>가 외국인의 5거래일 연속 순매수에 힘입어 7만7000원선을 회복했다. 6일 한국거래소에 따르면 유가증권시장에서 <b>삼성전자</b>는 전 거래일보다 0.91%(700원)... ,"Mon, 06 Sep 2021 19:02:00 +0900"
